Date,Open,High,Low,Close,Volume
2010-01-04,42.05,42.67,41.78,42.29,2918680
2010-01-05,42.34,42.34,41.77,42.04,2043783
2010-01-06,41.77,41.9,41.23,41.33,1884204
2010-01-07,41.16,42.0,41.0,41.88,1821651
2010-01-08,41.63,41.92,41.21,41.51,1762647
2010-01-11,42.5,42.78,41.85,42.12,1826044
2010-01-12,41.99,42.17,41.37,41.62,1730726
2010-01-13,41.83,44.99,41.81,44.44,4991220
2010-01-14,44.6,46.47,44.54,46.33,4318838
2010-01-15,46.36,46.36,45.17,46.04,3315236
2010-01-19,46.0,47.03,45.7,46.98,1917893
2010-01-20,46.45,46.98,45.86,46.56,3169873
2010-01-21,46.5,46.7,44.86,44.88,3132928
2010-01-22,44.63,44.89,43.77,43.84,3072264
2010-01-25,44.55,45.15,44.06,44.74,1909948
2010-01-26,44.57,44.84,44.1,44.16,2137439
2010-01-27,44.17,44.92,43.41,43.62,4601883
2010-01-28,44.95,46.24,44.08,44.09,4096846
2010-01-29,44.2,44.55,43.44,43.59,4188110
2010-02-01,43.76,44.43,43.28,44.43,2559020
2010-02-02,44.44,45.6,43.69,44.99,3738894
2010-02-03,45.0,45.43,44.39,45.25,3266561
2010-02-04,44.71,45.14,44.36,44.65,5248029
2010-02-05,44.56,45.25,44.45,45.12,5092689
2010-02-08,45.03,45.29,44.23,44.27,3320193
2010-02-09,44.59,45.46,44.31,45.03,2415812
2010-02-10,44.79,45.27,44.48,45.13,2951580
2010-02-11,44.85,45.48,44.85,45.4,2704715
2010-02-12,44.85,45.23,44.85,45.15,3519836
2010-02-16,45.12,45.93,45.06,45.68,2597540
2010-02-17,45.69,46.25,45.52,46.14,2068485
2010-02-18,46.14,46.75,45.85,46.5,2950011
2010-02-19,46.26,47.22,45.96,46.89,2336993
2010-02-22,46.88,47.37,46.82,46.92,1824517
2010-02-23,46.88,47.34,46.4,46.59,2136521
2010-02-24,46.62,46.75,45.8,46.24,2214357
2010-02-25,45.46,46.28,45.34,46.2,2059941
2010-02-26,46.41,46.72,45.67,46.69,2406791
2010-03-01,46.75,47.59,46.7,47.17,1260557
2010-03-02,47.45,47.68,46.85,46.95,2433615
2010-03-03,46.97,47.54,46.91,47.35,1553409
2010-03-04,47.4,47.5,47.16,47.34,2464331
