Date,Open,High,Low,Close,Volume
2010-01-04,21.9,22.88,21.83,22.75,5632028
2010-01-05,22.75,23.37,22.54,22.94,5006469
2010-01-06,23.01,24.4,23.01,24.1,6744488
2010-01-07,23.94,23.95,23.06,23.57,6528375
2010-01-08,23.42,25.92,23.42,25.77,11605636
2010-01-11,26.49,26.75,24.75,24.91,10463983
2010-01-12,24.39,25.8,24.24,25.1,9200174
2010-01-13,25.38,25.38,24.26,25.15,6691603
2010-01-14,25.05,25.29,24.52,24.77,5911634
2010-01-15,24.62,24.78,23.51,23.66,10222188
2010-01-19,23.36,23.87,22.59,23.87,12736809
2010-01-20,23.38,23.39,22.54,23.05,8965072
2010-01-21,22.88,23.15,21.07,21.22,13412578
2010-01-22,20.88,21.74,20.0,20.19,15755646
2010-01-25,21.25,21.94,20.67,21.27,19778911
2010-01-26,20.59,21.84,20.3,21.23,16703709
2010-01-27,21.67,21.92,20.15,20.93,15270081
2010-01-28,21.31,21.31,20.32,20.75,11788978
2010-01-29,21.05,21.74,20.11,20.34,9730275
2010-02-01,20.7,21.73,20.7,21.64,7891942
2010-02-02,21.94,22.25,21.36,21.89,7426003
2010-02-03,21.7,21.93,21.17,21.3,5681631
2010-02-04,20.79,20.79,19.52,19.54,11065843
2010-02-05,19.84,20.48,19.22,20.43,13488701
2010-02-08,20.29,20.99,19.88,19.99,7720463
2010-02-09,20.56,21.03,20.27,20.8,10688698
2010-02-10,20.63,20.85,20.16,20.48,7438134
2010-02-11,20.77,21.66,20.49,21.45,8834100
2010-02-12,20.85,21.75,20.78,21.68,8155687
2010-02-16,22.01,23.3,21.84,23.07,15020926
2010-02-17,23.34,23.34,22.53,22.99,8254546
2010-02-18,22.63,23.19,22.63,23.1,7664580
2010-02-19,22.89,23.64,22.78,23.36,8273473
2010-02-22,23.6,23.6,23.12,23.24,7078623
2010-02-23,23.1,23.1,22.06,22.23,7743929
2010-02-24,22.2,22.3,21.06,21.37,16205947
2010-02-25,20.69,21.74,20.5,21.66,11953148
2010-02-26,21.91,21.94,21.25,21.53,6173212
2010-03-01,21.76,22.3,21.52,22.23,7111316
2010-03-02,22.59,22.97,22.3,22.64,6616052
2010-03-03,22.92,23.45,22.73,22.81,7141227
2010-03-04,23.03,24.6,22.93,24.37,26110465
2010-03-05,24.61,25.24,24.56,24.88,11353554
2010-03-08,24.37,24.67,23.55,24.13,11914925
2010-03-09,23.81,24.78,23.7,24.16,9404924
2010-03-10,24.45,24.71,23.89,24.07,6875394
2010-03-11,23.88,23.9,23.41,23.69,6560247
2010-03-12,23.94,24.14,23.1,23.23,8497698
2010-03-15,23.02,23.08,22.64,23.02,6284423
2010-03-16,23.45,23.58,23.13,23.4,7940544
2010-03-17,23.56,23.62,23.01,23.11,8079572
2010-03-18,23.17,23.35,22.53,22.64,7735152
2010-03-19,22.84,22.84,21.93,22.05,8199148
2010-03-22,21.55,22.63,21.39,22.53,7087799
2010-03-23,22.59,23.34,22.46,23.17,9346658
2010-03-24,22.88,23.61,22.67,23.33,9223679
2010-03-25,23.67,23.92,22.41,22.49,8942861
2010-03-26,22.8,23.52,22.6,23.01,8374458
2010-03-29,23.32,23.52,23.14,23.32,5589792
2010-03-30,23.48,23.55,22.72,23.0,5691029
2010-03-31,22.89,23.25,22.75,22.86,5465260
2010-04-01,23.34,23.34,22.88,23.07,5908093
2010-04-05,23.32,24.25,23.1,24.2,10498329
2010-04-06,24.23,25.12,24.1,25.0,10388379
2010-04-07,24.92,24.94,23.82,24.1,11502542
2010-04-08,23.72,23.78,23.03,23.56,9983325
2010-04-09,23.53,23.76,22.75,23.01,11685502
2010-04-12,22.81,23.25,22.63,22.75,6597582
2010-04-13,22.85,23.2,22.55,22.62,6805278
2010-04-14,22.9,22.9,22.29,22.69,7985071
2010-04-15,22.71,22.78,22.1,22.21,7587389
2010-04-16,22.04,22.24,21.19,21.6,10454495
2010-04-19,21.15,21.24,20.34,20.83,16834116
2010-04-20,20.65,20.81,19.26,19.35,31357248
2010-04-21,19.47,19.51,18.51,18.89,19242274
2010-04-22,18.54,19.2,18.32,18.92,15825945
2010-04-23,18.86,19.15,18.58,19.1,11293329
2010-04-26,19.31,19.81,18.81,18.99,12054094
2010-04-27,18.62,18.62,17.35,17.43,29501925
2010-04-28,17.75,17.85,17.16,17.41,13329563
2010-04-29,17.17,17.27,16.8,17.15,16869645
2010-04-30,17.12,17.29,16.6,16.75,13037492
2010-05-03,17.02,17.14,16.25,16.51,13610326
2010-05-04,16.21,16.33,15.81,16.0,15505251
2010-05-05,15.64,16.5,15.34,15.87,21903732
2010-05-06,15.98,16.32,14.17,15.46,26593287
2010-05-07,15.35,16.0,14.87,15.5,20740480
2010-05-10,16.34,16.48,15.79,16.24,14133058
2010-05-11,15.84,16.02,15.57,15.62,13091837
2010-05-12,15.7,16.21,15.56,16.19,10010992
2010-05-13,16.36,16.77,15.92,16.0,14120124
2010-05-14,15.75,15.78,15.12,15.41,10249444
