Date,Open,High,Low,Close,Volume
2010-01-04,11.78,11.88,11.59,11.85,9433958
2010-01-05,11.96,12.1,11.75,11.93,7425251
2010-01-06,11.95,12.08,11.77,11.89,6942266
2010-01-07,11.7,12.07,11.7,11.98,5252522
2010-01-08,11.99,12.01,11.86,11.93,3388026
2010-01-11,11.93,12.07,11.67,11.95,8250078
2010-01-12,11.76,11.8,11.59,11.67,4220179
2010-01-13,11.61,11.68,11.42,11.62,6808169
2010-01-14,11.68,11.75,11.24,11.49,11632108
2010-01-15,11.45,11.55,11.2,11.3,8271266
2010-01-19,11.4,11.5,11.2,11.49,6198138
2010-01-20,11.31,11.41,11.05,11.14,6752015
2010-01-21,11.16,11.25,10.57,10.6,17910951
2010-01-22,10.49,10.63,10.08,10.14,17515791
2010-01-25,10.38,10.45,9.95,9.98,10535825
2010-01-26,9.97,10.5,9.81,10.32,9499098
2010-01-27,9.78,9.8,8.92,9.52,51114368
2010-01-28,9.52,9.59,8.97,9.0,22110822
2010-01-29,9.17,9.23,8.72,8.84,17047120
2010-02-01,9.03,9.24,8.88,9.23,9894362
2010-02-02,9.38,9.52,9.15,9.17,9671674
2010-02-03,9.24,9.24,8.95,9.13,8696028
2010-02-04,9.0,9.03,8.61,8.63,10903316
2010-02-05,8.56,9.03,8.49,8.99,24876434
2010-02-08,8.88,9.34,8.82,9.11,10803026
2010-02-09,9.26,9.38,9.0,9.08,17339460
2010-02-10,9.12,9.2,8.91,9.13,8265115
2010-02-11,9.12,9.27,9.02,9.2,6415402
2010-02-12,9.07,9.19,8.9,9.15,5079024
2010-02-16,9.37,9.48,9.25,9.38,7101673
2010-02-17,9.45,9.52,9.27,9.32,6338244
2010-02-18,9.22,9.29,9.09,9.15,11762512
2010-02-19,9.08,9.39,9.04,9.39,7137873
2010-02-22,9.45,9.5,9.34,9.38,4595151
2010-02-23,9.41,9.41,9.04,9.14,12264930
2010-02-24,9.14,9.24,9.09,9.13,4343488
2010-02-25,8.95,9.14,8.88,9.14,9418762
2010-02-26,9.14,9.24,9.07,9.19,9019269
2010-03-01,9.26,9.41,9.21,9.3,7471641
2010-03-02,9.36,9.44,9.3,9.35,5693780
2010-03-03,9.47,9.69,9.39,9.69,7700135
2010-03-04,9.71,9.8,9.42,9.48,7408513
2010-03-05,9.68,9.82,9.57,9.75,7466317
2010-03-08,9.86,9.95,9.8,9.88,7382543
2010-03-09,9.73,10.18,9.73,10.0,7369808
2010-03-10,10.02,10.13,9.76,9.88,7409342
2010-03-11,9.86,10.02,9.73,10.0,4422976
2010-03-12,10.06,10.09,9.94,10.06,5462698
2010-03-15,9.94,10.0,9.76,9.89,4532609
2010-03-16,9.98,10.06,9.92,10.06,3592220
2010-03-17,10.1,10.53,10.07,10.38,11211622
2010-03-18,10.47,10.47,10.19,10.3,6823263
2010-03-19,10.29,10.3,10.02,10.23,6110486
2010-03-22,10.06,10.46,9.88,10.42,6261576
2010-03-23,10.45,10.62,10.35,10.58,6390144
2010-03-24,10.27,10.47,10.01,10.06,27314819
2010-03-25,10.08,10.3,9.62,9.66,42187645
2010-03-26,9.78,9.8,9.52,9.66,14448916
2010-03-29,9.86,9.96,9.67,9.93,8870461
2010-03-30,9.93,10.07,9.82,10.0,7554107
2010-03-31,9.98,10.0,9.79,9.82,12539849
2010-04-01,9.88,10.1,9.87,10.0,12852232
2010-04-05,10.02,10.4,10.0,10.38,9268499
2010-04-06,10.36,10.57,10.26,10.49,7150980
2010-04-07,10.39,10.43,10.04,10.06,10985211
2010-04-08,10.0,10.3,9.88,10.23,7943543
2010-04-09,10.31,10.44,10.12,10.43,7194539
2010-04-12,10.39,10.48,10.34,10.38,5122473
2010-04-13,10.38,10.47,10.26,10.33,5805725
2010-04-14,10.38,10.52,10.36,10.46,7483296
2010-04-15,10.37,10.43,10.29,10.39,7711796
2010-04-16,10.26,10.55,10.08,10.2,12486007
2010-04-19,10.06,10.3,9.93,10.12,7701562
2010-04-20,10.18,10.31,10.14,10.17,6418861
2010-04-21,10.2,10.29,10.04,10.26,9733527
2010-04-22,10.11,10.65,10.07,10.61,12473944
2010-04-23,10.63,11.7,10.62,11.58,35974786
2010-04-26,11.62,12.12,11.54,11.72,36655302
2010-04-27,11.45,11.59,10.97,11.11,26673540
2010-04-28,11.35,11.55,11.18,11.42,22973580
2010-04-29,11.57,12.02,11.53,11.75,14906019
2010-04-30,11.82,11.91,11.38,11.42,12975421
2010-05-03,11.49,11.88,11.41,11.77,7878353
2010-05-04,11.62,11.62,10.87,11.04,20886679
2010-05-05,10.78,11.06,10.46,10.55,19200038
2010-05-06,10.47,10.71,9.49,10.12,26156750
2010-05-07,10.14,10.34,9.72,9.86,22017000
2010-05-10,10.62,11.0,10.6,10.96,22783850
2010-05-11,10.77,11.09,10.58,10.81,16005576
2010-05-12,10.91,11.36,10.82,11.36,10536788
2010-05-13,11.23,11.42,10.97,11.08,7588482
2010-05-14,10.92,10.93,10.53,10.63,13226046
2010-05-17,10.65,10.79,10.19,10.56,13672192
2010-05-18,10.71,10.89,10.34,10.41,11390697
2010-05-19,10.22,10.62,10.06,10.17,11748044
2010-05-20,9.88,9.98,9.52,9.62,19932390
2010-05-21,9.48,9.95,9.42,9.76,26067282
2010-05-24,9.63,10.08,9.57,9.82,14619515
2010-05-25,9.42,9.75,9.38,9.73,13098756
2010-05-26,9.95,10.36,9.89,10.12,15645256
2010-05-27,10.46,10.78,10.4,10.78,16105335
