Date,Open,High,Low,Close,Volume
2010-01-04,20.92,21.63,20.92,21.46,11076578
2010-01-05,21.46,21.55,21.23,21.54,9279340
2010-01-06,21.44,21.44,21.12,21.27,11753067
2010-01-07,21.12,21.18,20.73,20.8,14229488
2010-01-08,20.9,21.02,20.51,20.7,15349825
2010-01-11,20.85,20.85,20.08,20.44,15725392
2010-01-12,20.29,20.45,19.93,20.0,15343285
2010-01-13,20.46,20.51,19.82,19.98,12364484
2010-01-14,19.99,20.25,19.55,19.68,12617122
2010-01-15,19.8,19.89,19.07,19.2,20099193
2010-01-19,19.33,19.62,19.17,19.36,11024688
2010-01-20,18.94,19.0,18.22,18.67,19065911
2010-01-21,18.65,18.8,17.92,18.05,21587545
2010-01-22,18.0,18.31,17.61,17.85,16767101
2010-01-25,18.1,18.32,17.74,17.88,11675476
2010-01-26,17.58,18.13,17.3,17.75,14311459
2010-01-27,17.52,17.8,17.32,17.67,14602268
2010-01-28,17.89,18.02,17.34,17.76,16284709
2010-01-29,18.12,18.15,17.17,17.42,21419174
2010-02-01,17.68,18.29,17.61,18.29,13423846
2010-02-02,18.5,18.72,18.17,18.64,11290626
2010-02-03,18.5,18.5,18.06,18.25,9331857
2010-02-04,17.81,17.84,17.07,17.28,18880587
2010-02-05,17.18,17.37,16.24,16.88,30480466
2010-02-08,16.89,17.19,16.69,16.85,15278453
2010-02-09,17.51,18.01,17.36,17.84,22800205
2010-02-10,17.85,18.02,17.62,17.87,12159907
2010-02-11,17.69,18.4,17.54,18.32,10946446
2010-02-12,17.7,18.24,17.64,18.23,8773870
2010-02-16,18.7,18.7,18.26,18.57,5542715
2010-02-17,18.82,18.92,18.55,18.81,7408233
2010-02-18,18.63,19.09,18.57,18.95,7422097
2010-02-19,18.6,19.04,18.6,18.88,7258813
2010-02-22,18.79,18.98,18.44,18.48,6754366
2010-02-23,18.15,18.3,17.69,17.88,11767396
2010-02-24,17.98,18.05,17.68,17.73,11947698
2010-02-25,17.19,17.98,17.17,17.78,17100550
2010-02-26,17.81,18.21,17.62,18.15,10254926
2010-03-01,18.36,18.6,18.36,18.54,11748949
2010-03-02,18.75,18.96,18.68,18.87,11267523
2010-03-03,19.05,19.34,18.73,18.85,15390390
2010-03-04,19.02,19.1,18.65,18.86,8617162
2010-03-05,19.04,19.15,18.9,19.11,9541066
2010-03-08,19.17,19.26,18.92,18.98,8928125
2010-03-09,18.82,19.54,18.72,19.37,12310415
2010-03-10,19.38,19.77,19.31,19.44,10649176
2010-03-11,19.27,19.61,19.17,19.6,9906031
2010-03-12,19.77,19.77,19.25,19.36,9205518
2010-03-15,19.27,19.48,19.09,19.38,6892768
2010-03-16,19.39,19.61,19.26,19.48,11432380
2010-03-17,19.67,19.72,19.14,19.19,13179839
2010-03-18,19.08,19.13,18.68,18.92,10230285
2010-03-19,18.94,19.01,18.48,18.63,12032984
2010-03-22,18.44,19.02,18.37,18.98,10447833
2010-03-23,19.14,19.16,18.8,19.04,8132115
2010-03-24,18.66,18.88,18.44,18.48,10336448
2010-03-25,18.68,18.93,18.47,18.48,14053311
2010-03-26,18.55,18.77,18.45,18.71,14921014
2010-03-29,18.95,19.38,18.92,19.35,12264662
2010-03-30,19.47,19.56,19.29,19.51,11696959
2010-03-31,19.58,20.08,19.58,19.99,12218702
2010-04-01,20.17,20.45,20.0,20.37,13066820
2010-04-05,20.32,20.62,20.27,20.5,9667318
2010-04-06,20.26,20.54,20.21,20.35,10453628
2010-04-07,20.3,20.3,19.79,19.93,10534135
2010-04-08,19.84,20.65,19.74,20.54,12363097
2010-04-09,20.44,20.73,20.41,20.67,9931756
2010-04-12,20.73,20.73,20.45,20.47,6596376
2010-04-13,20.56,20.59,20.25,20.44,7802215
2010-04-14,20.46,20.82,20.4,20.45,17039618
2010-04-15,20.55,20.88,20.51,20.56,11839442
2010-04-16,20.39,20.45,19.64,19.89,15436711
2010-04-19,19.74,19.94,19.34,19.59,17776808
2010-04-20,19.79,19.9,19.54,19.76,7012098
2010-04-21,19.75,19.88,19.09,19.45,11418640
2010-04-22,19.43,19.65,19.11,19.59,10126733
2010-04-23,19.45,19.62,19.26,19.55,7501371
2010-04-26,19.65,19.81,19.47,19.55,6272981
2010-04-27,19.35,19.37,18.66,18.69,13579594
2010-04-28,19.1,19.23,18.64,19.15,12740759
2010-04-29,19.46,19.91,19.32,19.74,14404984
2010-04-30,19.81,20.18,19.64,19.71,13414284
2010-05-03,19.85,20.09,19.63,19.83,8221342
2010-05-04,19.42,19.46,18.87,18.9,15668632
2010-05-05,18.56,19.04,18.25,18.68,12688138
2010-05-06,18.39,18.79,16.68,17.92,24792475
2010-05-07,17.87,18.0,16.89,17.83,28906297
2010-05-10,19.14,19.4,18.92,19.36,16614788
2010-05-11,18.94,19.4,18.75,18.94,14365562
2010-05-12,19.15,19.31,18.9,18.99,9106419
2010-05-13,18.95,19.08,18.66,18.7,8986537
2010-05-14,18.38,18.45,17.87,18.18,12186118
2010-05-17,18.25,18.49,17.45,17.95,14674001
2010-05-18,18.41,18.7,17.39,17.5,20009248
2010-05-19,16.58,16.65,16.05,16.54,34848219
2010-05-20,16.04,16.44,15.59,15.96,27971310
2010-05-21,15.76,16.57,15.57,16.54,31200183
2010-05-24,16.41,16.63,15.81,15.86,27004616
2010-05-25,15.28,15.8,14.85,15.55,82562099
2010-05-26,16.1,16.37,15.69,16.04,65825883
2010-05-27,16.79,16.92,16.49,16.92,30018589
2010-05-28,16.71,16.89,16.51,16.74,16373118
2010-06-01,16.95,17.33,16.54,16.85,25515673
2010-06-02,16.92,17.51,16.8,17.51,21840806
2010-06-03,17.5,17.65,17.05,17.29,11254003
2010-06-04,16.94,17.01,16.51,16.59,16058123
2010-06-07,16.69,16.7,15.99,16.06,20721954
2010-06-08,16.13,16.67,15.91,16.64,19372861
2010-06-09,16.83,16.93,16.4,16.42,12383440
2010-06-10,16.93,17.37,16.89,17.32,13822005
2010-06-11,17.01,17.57,17.01,17.52,10672336
2010-06-14,17.81,17.81,17.22,17.26,11900714
2010-06-15,17.43,17.95,17.35,17.9,16854937
2010-06-16,17.62,18.05,17.53,17.92,15795648
2010-06-17,18.0,18.13,17.62,17.84,9415760
2010-06-18,17.83,18.12,17.79,17.92,10144150
2010-06-21,18.37,18.5,17.99,18.12,10582377
2010-06-22,18.18,18.36,17.79,17.84,12348764
2010-06-23,17.78,17.96,17.43,17.93,11202022
2010-06-24,17.81,17.81,17.26,17.45,12153855
2010-06-25,17.48,17.66,17.13,17.65,11334915
2010-06-28,17.72,17.83,17.42,17.63,9646040
2010-06-29,17.11,17.14,16.46,16.55,19846918
2010-06-30,16.75,16.98,16.31,16.37,16200288
2010-07-01,16.7,17.22,16.3,17.18,24335487
2010-07-02,17.25,17.58,17.05,17.46,13296055
2010-07-06,17.5,17.65,17.21,17.45,27255354
2010-07-07,17.54,18.72,17.54,18.66,37023746
2010-07-08,18.72,19.35,18.7,19.24,47804916
2010-07-09,19.2,19.69,19.08,19.56,17853733
2010-07-12,19.35,19.67,18.99,19.16,22518911
2010-07-13,19.37,19.55,19.25,19.39,25175337
2010-07-14,19.17,19.37,18.96,19.13,14225890
2010-07-15,19.13,19.24,18.7,19.01,17902790
2010-07-16,19.03,19.03,18.34,18.37,17224490
2010-07-19,18.51,18.85,18.43,18.73,14040886
2010-07-20,18.64,19.25,18.55,19.15,16067913
2010-07-21,19.28,19.32,18.78,18.91,16036378
2010-07-22,19.29,19.77,19.25,19.73,17371555
2010-07-23,19.58,19.94,19.56,19.94,12252173
2010-07-26,19.9,19.99,19.7,19.9,11183395
2010-07-27,20.02,20.18,19.82,19.88,14782358
2010-07-28,19.99,20.51,19.82,20.38,15567750
2010-07-29,20.45,20.55,20.0,20.27,11544638
2010-07-30,20.07,20.52,19.96,20.35,10442980
2010-08-02,20.65,20.78,20.49,20.73,10146224
2010-08-03,20.2,20.2,19.84,19.94,16693592
2010-08-04,19.95,19.98,19.43,19.66,18385091
2010-08-05,19.69,19.89,19.62,19.69,8727855
2010-08-06,19.65,19.97,19.6,19.85,10369741
2010-08-09,20.04,20.13,19.91,19.96,6037405
2010-08-10,19.75,19.98,19.64,19.85,6450082
2010-08-11,19.45,19.47,18.97,19.22,10627240
2010-08-12,18.95,19.39,18.93,19.35,7144290
2010-08-13,19.34,19.59,19.28,19.45,5299206
2010-08-16,19.42,19.7,19.36,19.7,6752797
2010-08-17,19.75,19.85,19.69,19.75,11974544
2010-08-18,19.78,19.81,19.59,19.79,9483522
2010-08-19,19.69,19.87,19.35,19.42,7475130
2010-08-20,19.31,19.47,19.17,19.45,6357795
2010-08-23,19.49,19.65,19.18,19.18,5944073
2010-08-24,18.97,19.0,18.65,18.91,10075530
2010-08-25,18.81,18.85,18.42,18.79,12340353
2010-08-26,18.94,18.97,18.4,18.45,8480387
2010-08-27,18.63,19.21,18.43,19.21,11289689
2010-08-30,19.15,19.2,18.83,18.91,6725916
2010-08-31,19.17,19.63,19.14,19.46,14399129
2010-09-01,19.89,20.15,19.75,19.91,19418549
2010-09-02,19.85,20.01,19.74,19.93,15695923
2010-09-03,20.21,20.3,19.8,19.86,13201657
2010-09-07,19.66,19.88,19.58,19.65,5601773
2010-09-08,19.74,19.94,19.72,19.8,8334649
2010-09-09,19.93,20.04,19.63,19.67,6702460
2010-09-10,19.78,19.83,19.63,19.7,4510557
2010-09-13,20.06,20.54,20.03,20.53,10363490
2010-09-14,20.67,21.03,20.57,20.9,13348931
2010-09-15,20.76,20.82,20.55,20.8,8595332
2010-09-16,20.75,20.79,20.58,20.71,5287340
2010-09-17,20.72,20.97,20.4,20.61,11374038
2010-09-20,20.68,20.79,20.54,20.66,9611054
2010-09-21,20.55,20.61,20.29,20.44,9220571
2010-09-22,20.66,20.95,20.57,20.72,10165564
2010-09-23,20.61,21.15,20.58,20.76,10567547
2010-09-24,20.76,21.0,20.51,20.68,15857574
2010-09-27,20.58,20.92,20.51,20.74,6866898
2010-09-28,20.84,21.18,20.73,21.17,8420424
2010-09-29,20.96,21.49,20.96,21.41,9339876
2010-09-30,21.68,21.98,21.56,21.98,11839369
2010-10-01,22.06,22.4,22.04,22.35,10463002
2010-10-04,22.17,22.26,22.05,22.26,9045223
2010-10-05,22.44,23.15,22.28,22.94,13625794
2010-10-06,22.93,23.07,22.64,22.71,12818942
2010-10-07,22.95,22.97,22.43,22.66,7372609
2010-10-08,22.73,23.4,22.73,23.26,8237268
2010-10-11,23.34,23.48,23.1,23.25,5994349
2010-10-12,23.24,23.29,22.95,23.27,5495611
2010-10-13,23.39,23.85,23.35,23.68,11020868
2010-10-14,23.55,23.64,23.04,23.24,14780870
2010-10-15,23.46,23.49,23.1,23.49,8537544
2010-10-18,23.1,23.77,23.1,23.76,9082526
2010-10-19,23.08,23.34,22.7,22.91,11151908
2010-10-20,22.96,23.59,22.95,23.34,6527303
2010-10-21,23.25,23.56,22.63,22.77,9677926
2010-10-22,23.04,23.18,22.8,22.86,8620484
2010-10-25,23.1,23.36,23.02,23.15,10583387
2010-10-26,23.03,23.05,22.81,22.96,9213567
2010-10-27,22.7,22.89,22.1,22.16,13799789
2010-10-28,22.35,22.47,22.11,22.18,13597450
2010-10-29,22.3,22.41,22.21,22.33,5254161
2010-11-01,22.55,22.87,22.51,22.79,8876513
2010-11-02,22.96,23.19,22.55,23.04,6286743
2010-11-03,22.96,23.19,22.82,23.07,14155916
2010-11-04,23.21,23.87,23.17,23.87,11046768
2010-11-05,23.7,23.91,23.55,23.86,7493462
2010-11-08,23.55,23.82,23.5,23.71,9497742
2010-11-09,23.61,23.72,22.7,22.82,15689738
2010-11-10,23.0,23.15,22.53,22.88,13774807
2010-11-11,22.65,22.75,22.46,22.65,8691495
2010-11-12,22.37,22.65,22.12,22.37,13049200
2010-11-15,22.45,22.7,22.25,22.47,4165538
2010-11-16,22.27,22.31,21.5,21.65,14267647
2010-11-17,21.76,22.06,21.75,21.86,10985892
2010-11-18,22.29,22.64,22.19,22.45,7713157
2010-11-19,22.39,22.6,21.98,22.43,7430994
2010-11-22,22.24,22.36,21.79,22.12,7167764
2010-11-23,21.75,21.75,21.12,21.25,14827018
2010-11-24,21.75,22.1,21.65,21.79,10584649
2010-11-26,21.31,21.5,21.14,21.25,6288501
2010-11-29,21.09,21.35,20.82,21.29,10762632
2010-11-30,21.06,21.43,20.65,21.21,14218853
2010-12-01,21.65,21.85,21.5,21.64,11580526
2010-12-02,21.73,21.99,21.66,21.98,8606416
2010-12-03,21.51,21.8,21.41,21.62,10139278
2010-12-06,21.38,21.48,21.24,21.4,9150225
2010-12-07,21.8,21.88,21.37,21.43,11309705
2010-12-08,21.4,21.43,20.84,21.09,9643377
2010-12-09,20.96,21.03,20.51,20.7,14196620
2010-12-10,20.59,20.78,20.43,20.77,9263506
2010-12-13,20.7,21.07,20.61,21.0,9156165
2010-12-14,20.68,21.06,20.61,21.05,10063308
2010-12-15,20.91,20.94,20.55,20.6,12871834
2010-12-16,20.6,20.71,20.47,20.68,8845144
2010-12-17,20.54,20.84,20.45,20.81,8011698
2010-12-20,20.88,20.91,20.45,20.45,8009263
2010-12-21,20.73,21.12,20.72,20.94,9289174
2010-12-22,20.89,21.4,20.85,21.4,8469927
2010-12-23,21.28,21.59,21.27,21.36,5539398
2010-12-27,21.21,21.38,21.13,21.15,4245690
2010-12-28,21.14,21.19,20.93,20.95,3697213
2010-12-29,21.24,21.75,21.21,21.73,5257756
2010-12-30,21.84,22.0,21.7,21.83,7187895
2010-12-31,21.96,22.05,21.62,21.83,3998096
2011-01-03,22.17,22.37,22.05,22.3,8298736
2011-01-04,22.3,22.36,21.88,22.17,7941578
2011-01-05,22.14,22.52,22.05,22.21,9252415
2011-01-06,21.96,22.07,21.55,21.55,8178881
2011-01-07,21.67,21.72,20.95,21.0,13154454
2011-01-10,20.85,21.25,20.57,21.19,11576580
2011-01-11,21.41,21.58,21.32,21.55,9062824
2011-01-12,21.75,22.12,21.61,22.05,9627357
2011-01-13,22.05,22.21,21.69,21.78,8540484
2011-01-14,21.67,21.78,21.45,21.64,8604344
2011-01-18,21.41,21.44,21.15,21.33,10191403
2011-01-19,21.19,21.23,20.94,20.98,12883634
2011-01-20,20.77,20.78,20.23,20.25,22373438
2011-01-21,20.52,20.64,20.28,20.33,13613766
2011-01-24,20.45,20.65,20.31,20.65,6645730
2011-01-25,20.55,20.64,20.25,20.44,5353370
2011-01-26,20.58,20.62,20.29,20.3,8435260
2011-01-27,20.4,20.4,19.65,20.08,18445714
2011-01-28,20.11,20.12,19.27,19.79,21504832
2011-01-31,19.84,20.01,19.46,19.55,15677081
2011-02-01,19.76,20.14,19.75,20.06,14233162
2011-02-02,20.17,20.21,19.65,19.72,9171328
2011-02-03,19.69,19.72,19.33,19.34,13169418
2011-02-04,19.1,19.17,18.74,18.92,12887892
2011-02-07,18.86,19.16,18.82,19.07,7826758
2011-02-08,19.75,19.89,19.48,19.77,14840374
2011-02-09,19.47,19.55,19.22,19.29,12895922
2011-02-10,19.3,19.36,19.04,19.19,19582822
2011-02-11,19.21,19.95,19.03,19.92,15631857
2011-02-14,19.8,20.17,19.7,20.0,8084207
2011-02-15,19.94,20.47,19.93,20.38,16224935
2011-02-16,20.65,20.81,20.52,20.76,11322737
2011-02-17,20.78,21.2,20.68,21.03,9172904
2011-02-18,20.85,21.16,20.81,21.08,9467537
2011-02-22,20.55,20.66,19.84,19.95,19028127
2011-02-23,19.91,20.22,19.74,20.19,11265927
2011-02-24,20.35,20.49,19.75,20.02,23551802
2011-02-25,20.12,20.12,19.63,20.05,14746884
2011-02-28,20.07,20.41,20.05,20.2,12539262
2011-03-01,20.33,20.36,19.82,19.85,11634358
2011-03-02,19.85,20.15,19.81,19.95,9893678
2011-03-03,20.24,20.75,20.1,20.73,15010304
2011-03-04,20.74,20.96,20.45,20.77,10584390
2011-03-07,20.73,20.74,19.66,20.13,8355073
2011-03-08,20.14,20.35,19.99,20.03,8944798
2011-03-09,19.94,20.27,19.85,20.08,10742122
2011-03-10,19.41,19.63,19.24,19.3,14268648
2011-03-11,19.2,19.62,19.14,19.58,9857952
2011-03-14,19.53,19.95,19.45,19.95,7642985
2011-03-15,19.24,20.01,19.19,19.95,12155283
2011-03-16,19.97,19.99,19.07,19.35,13544530
2011-03-17,19.62,19.67,19.08,19.19,9640539
2011-03-18,19.53,19.85,19.5,19.75,13379973
2011-03-21,19.99,20.05,19.84,19.9,12014976
2011-03-22,19.96,20.66,19.94,20.64,15323461
2011-03-23,20.53,20.61,20.37,20.42,10361615
2011-03-24,20.53,20.76,20.38,20.59,12369687
2011-03-25,20.51,20.56,20.35,20.45,8094341
2011-03-28,20.46,20.71,20.38,20.48,7782802
2011-03-29,20.45,20.55,20.23,20.47,7111941
2011-03-30,20.62,21.17,20.53,21.09,12295174
2011-03-31,21.52,21.93,21.45,21.86,19564454
2011-04-01,22.25,22.38,21.97,22.05,18726731
2011-04-04,22.0,22.06,21.75,21.97,8860000
2011-04-05,21.85,22.15,21.71,21.98,9627174
2011-04-06,22.09,22.17,21.82,21.89,6974377
2011-04-07,22.14,22.31,22.0,22.23,12136369
2011-04-08,22.21,22.23,21.79,22.01,8043949
2011-04-11,22.01,22.04,21.59,21.7,7438596
2011-04-12,21.45,21.59,21.24,21.48,8204032
2011-04-13,21.6,21.66,21.32,21.53,7292619
2011-04-14,21.46,21.64,21.24,21.38,6812043
2011-04-15,21.47,21.57,21.23,21.41,6565008
2011-04-18,20.91,21.28,20.81,21.1,7734664
2011-04-19,21.4,21.76,21.39,21.71,7427397
2011-04-20,21.99,22.15,21.83,22.03,10665234
2011-04-21,22.11,22.23,21.86,22.05,6200503
2011-04-25,22.05,22.17,21.9,22.14,8553632
2011-04-26,22.19,22.41,22.08,22.32,7834071
2011-04-27,22.44,22.47,21.78,22.16,10137420
2011-04-28,21.69,21.77,21.07,21.34,14277861
2011-04-29,21.38,21.66,21.27,21.59,10627101
2011-05-02,21.75,21.85,21.26,21.38,6396939
2011-05-03,20.91,20.96,20.39,20.64,17740620
2011-05-04,20.66,20.69,20.15,20.2,14973153
2011-05-05,20.16,20.49,19.96,20.19,14314822
2011-05-06,20.69,20.85,20.48,20.74,16095617
2011-05-09,20.75,20.86,20.33,20.84,11989087
2011-05-10,20.98,21.39,20.86,21.37,11718223
2011-05-11,21.08,21.08,20.7,20.82,13073167
2011-05-12,20.69,20.87,20.54,20.72,18571254
2011-05-13,20.53,20.63,20.02,20.17,8829744
2011-05-16,20.04,20.45,19.87,19.92,10228041
2011-05-17,19.61,20.16,19.51,20.1,12574546
2011-05-18,20.06,20.29,19.79,19.9,9117739
2011-05-19,19.98,20.07,19.64,19.8,10180406
2011-05-20,19.75,19.85,19.52,19.6,9652962
