Date,Open,High,Low,Close,Volume
2010-01-04,29.59,30.28,29.53,30.25,19384514
2010-01-05,30.14,31.02,30.09,30.57,24200174
2010-01-06,30.57,31.43,30.46,31.06,24190872
2010-01-07,31.02,31.17,30.57,31.15,16064827
2010-01-08,31.38,31.88,31.27,31.48,14727124
2010-01-11,31.8,31.96,31.03,31.33,16856232
2010-01-12,30.63,31.18,30.5,31.14,22897664
2010-01-13,31.44,31.56,30.83,31.23,21610087
2010-01-14,31.23,31.47,30.75,30.85,19893536
2010-01-15,30.87,30.87,30.02,30.33,22851798
2010-01-19,30.76,31.31,30.75,31.2,15052669
2010-01-20,30.57,30.58,29.0,30.24,28517148
2010-01-21,30.05,30.08,28.54,28.69,30627353
2010-01-22,28.2,28.38,27.48,27.64,37258274
2010-01-25,28.05,28.52,27.52,27.54,18854455
2010-01-26,27.21,27.35,26.6,26.74,37366669
2010-01-27,26.32,26.66,25.93,26.52,35027786
2010-01-28,26.85,26.92,25.71,26.18,27672116
2010-01-29,26.74,26.94,25.56,25.79,28253440
2010-02-01,26.12,27.39,26.12,27.25,22629726
2010-02-02,27.63,27.77,27.12,27.56,23324531
2010-02-03,27.31,27.62,26.9,27.0,19603127
2010-02-04,26.49,26.5,25.18,25.2,36700897
2010-02-05,25.1,25.77,24.21,25.74,47144678
2010-02-08,25.75,26.27,25.16,25.18,28775368
2010-02-09,26.28,26.76,25.94,26.33,29381388
2010-02-10,26.29,26.5,25.7,26.2,27706342
2010-02-11,25.21,27.15,25.13,27.1,51091637
2010-02-12,26.43,27.02,26.2,26.93,27707751
2010-02-16,27.64,28.38,27.54,28.17,26889632
2010-02-17,28.4,28.49,27.72,28.23,24890151
2010-02-18,28.0,28.82,27.95,28.68,25590355
2010-02-19,28.49,29.28,28.43,28.82,24685945
2010-02-22,29.02,29.13,28.13,28.13,18177356
2010-02-23,27.94,28.17,27.21,27.52,23592737
2010-02-24,27.75,28.05,27.46,27.66,19156433
2010-02-25,27.05,27.99,26.81,27.92,25148190
2010-02-26,28.1,28.32,27.59,27.86,20848801
2010-03-01,28.2,28.6,28.09,28.46,17444717
2010-03-02,28.77,29.67,28.64,29.17,32171292
2010-03-03,29.72,29.96,29.04,29.14,24244282
2010-03-04,29.29,29.65,28.72,29.53,28032159
2010-03-05,30.07,30.73,29.98,30.67,30990228
2010-03-08,30.82,30.93,30.28,30.44,22312155
2010-03-09,30.05,30.98,30.05,30.71,24546414
2010-03-10,30.62,30.87,30.14,30.39,26759273
2010-03-11,30.16,30.19,29.65,30.15,21950897
2010-03-12,30.41,30.45,29.98,30.03,22845826
2010-03-15,29.92,30.21,29.74,30.16,16559228
2010-03-16,30.42,30.95,30.29,30.87,26225676
