Date,Open,High,Low,Close,Volume
2010-01-04,14.02,14.7,14.02,14.68,1938479
2010-01-05,14.69,14.95,14.68,14.88,1121006
2010-01-06,14.89,15.04,14.86,14.97,967450
2010-01-07,14.87,14.89,14.64,14.8,1279844
2010-01-08,14.75,15.0,14.58,14.99,2281284
2010-01-11,15.02,15.48,14.87,15.36,1915130
2010-01-12,15.24,15.36,15.14,15.23,1012782
2010-01-13,15.24,15.48,15.16,15.43,1790646
2010-01-14,15.38,16.14,15.28,16.03,2163776
2010-01-15,16.03,16.13,15.7,15.73,2219734
2010-01-19,15.7,15.91,15.5,15.64,1042566
2010-01-20,15.59,15.78,15.27,15.33,1369453
2010-01-21,15.33,15.37,14.83,14.88,1333854
2010-01-22,14.71,14.99,14.56,14.6,1752031
2010-01-25,14.73,14.93,14.55,14.9,773744
2010-01-26,14.78,14.99,14.68,14.78,702716
2010-01-27,14.69,14.95,14.55,14.6,1019701
2010-01-28,14.7,14.71,14.29,14.29,1043574
2010-01-29,14.34,14.67,14.25,14.52,1044596
2010-02-01,14.58,15.0,14.46,14.96,1143911
2010-02-02,14.91,15.02,14.79,14.98,1278184
2010-02-03,14.89,14.97,14.26,14.48,2477281
2010-02-04,14.3,14.3,13.98,14.0,830127
2010-02-05,14.03,14.05,13.64,13.96,1224909
2010-02-08,13.97,13.97,13.68,13.74,715317
2010-02-09,13.87,14.04,13.74,13.94,752237
2010-02-10,13.91,14.28,13.77,14.23,1150310
2010-02-11,14.21,14.49,14.18,14.45,669710
2010-02-12,14.27,14.58,14.25,14.41,875551
2010-02-16,14.59,14.85,14.56,14.76,593456
2010-02-17,14.76,15.1,14.73,14.95,834752
2010-02-18,15.02,15.03,14.88,14.95,786316
2010-02-19,14.94,15.05,14.8,14.97,912819
2010-02-22,14.99,15.02,14.63,14.83,1571388
2010-02-23,14.84,14.84,14.4,14.45,1334646
2010-02-24,14.43,14.68,14.39,14.51,1970458
2010-02-25,14.34,14.57,14.07,14.43,2378720
2010-02-26,14.51,15.12,14.41,14.83,2123776
2010-03-01,14.82,15.02,14.76,14.98,1209962
2010-03-02,15.09,15.24,14.98,15.07,1061243
2010-03-03,15.21,15.52,15.04,15.5,2075097
2010-03-04,15.5,15.52,15.29,15.41,1383113
2010-03-05,15.39,15.55,15.25,15.3,1534663
2010-03-08,15.41,15.48,15.24,15.3,835361
2010-03-09,15.31,15.31,15.03,15.09,1381791
2010-03-10,15.09,15.49,15.02,15.48,1136071
2010-03-11,15.34,15.69,15.29,15.69,1417107
2010-03-12,15.69,15.78,15.33,15.6,2890493
2010-03-15,15.51,15.72,15.45,15.66,1655558
2010-03-16,15.63,15.83,15.55,15.78,1432026
2010-03-17,15.78,15.94,15.72,15.93,832201
2010-03-18,15.9,15.91,15.57,15.8,8327826
2010-03-19,15.9,16.01,15.69,15.91,1718038
2010-03-22,15.97,16.11,15.7,16.03,1465066
2010-03-23,16.07,16.34,16.0,16.27,1016278
2010-03-24,16.22,16.42,16.18,16.39,1318950
2010-03-25,16.5,16.55,16.3,16.35,1974254
2010-03-26,16.16,16.36,16.16,16.3,1584364
2010-03-29,16.53,16.87,16.51,16.86,2194822
2010-03-30,16.93,16.97,16.78,16.82,1359760
2010-03-31,16.81,16.85,16.7,16.77,1196785
2010-04-01,16.86,16.86,16.64,16.66,1466013
2010-04-05,16.72,16.81,16.57,16.74,1580190
2010-04-06,16.71,17.02,16.71,16.9,1377335
2010-04-07,17.0,17.01,16.64,16.77,1128764
2010-04-08,16.67,16.72,16.32,16.38,1176672
2010-04-09,16.38,16.82,16.35,16.76,888540
2010-04-12,16.78,16.87,16.59,16.59,974608
2010-04-13,16.63,16.69,16.5,16.57,1298104
2010-04-14,16.61,16.8,16.56,16.74,1100867
2010-04-15,16.69,16.97,16.69,16.89,695272
2010-04-16,16.89,17.07,16.71,16.93,1737761
2010-04-19,16.89,17.05,16.71,16.84,1280940
2010-04-20,16.8,17.04,16.73,16.85,1889455
2010-04-21,16.82,16.88,16.67,16.84,1382862
2010-04-22,16.68,16.88,16.61,16.69,2256447
2010-04-23,16.62,16.94,16.5,16.94,2927657
2010-04-26,16.82,16.96,16.72,16.8,947644
2010-04-27,16.68,16.84,16.59,16.6,2341584
2010-04-28,16.62,16.72,16.28,16.6,2013677
2010-04-29,16.67,16.99,16.65,16.95,1275332
2010-04-30,16.95,17.28,16.9,17.0,1784727
2010-05-03,17.09,17.28,16.86,17.11,2800211
2010-05-04,16.91,17.04,16.49,16.53,1407083
2010-05-05,16.32,16.71,16.0,16.46,1755139
2010-05-06,16.26,16.53,15.48,15.88,2217254
2010-05-07,16.24,16.26,15.5,15.81,1780014
2010-05-10,16.52,16.76,16.48,16.64,1403538
2010-05-11,16.48,17.0,16.45,16.86,1285668
