Date,Open,High,Low,Close,Volume
2010-01-04,36.13,37.32,36.12,37.32,1309682
2010-01-05,37.48,37.83,37.06,37.62,2208250
2010-01-06,37.7,38.3,37.48,38.17,1800896
2010-01-07,38.28,38.5,37.66,38.37,1624132
2010-01-08,37.86,38.49,37.34,38.4,1511390
2010-01-11,38.64,38.84,37.12,37.62,1676092
2010-01-12,37.24,37.34,36.69,36.82,1781004
2010-01-13,36.74,37.14,36.18,37.12,1444206
2010-01-14,36.92,37.44,36.48,36.65,1387500
2010-01-15,36.48,36.72,36.0,36.5,1450182
2010-01-19,36.31,36.74,36.01,36.64,1645772
2010-01-20,36.21,36.42,35.56,36.31,1851944
2010-01-21,36.4,36.86,35.35,35.41,2519204
2010-01-22,35.45,35.45,34.21,34.36,3240024
2010-01-25,34.52,35.6,34.52,34.9,1461900
2010-01-26,34.71,34.88,34.22,34.31,2486322
2010-01-27,34.33,34.7,33.58,34.19,1638118
2010-01-28,34.24,34.76,33.54,34.31,1407542
2010-01-29,34.44,35.14,32.92,33.28,1457104
2010-02-01,33.46,34.75,33.46,34.69,1697516
2010-02-02,34.7,35.46,34.32,35.3,2108816
2010-02-03,35.21,35.42,34.34,34.58,1276292
2010-02-04,34.34,34.34,32.67,32.86,1418294
2010-02-05,33.04,33.09,31.33,32.7,1947814
2010-02-08,32.78,33.3,32.22,32.94,1817130
2010-02-09,33.38,33.84,32.92,33.16,2294038
2010-02-10,33.06,33.98,32.84,33.66,2242164
2010-02-11,33.66,34.67,33.48,34.62,1243722
2010-02-12,34.0,34.72,33.72,34.64,1395618
2010-02-16,35.2,35.8,35.09,35.58,1580950
2010-02-17,36.38,36.55,35.88,36.42,2384222
2010-02-18,36.23,36.92,36.23,36.66,1834470
2010-02-19,36.6,37.17,36.52,37.06,1132966
2010-02-22,37.15,37.3,36.48,36.78,1706098
2010-02-23,36.62,36.74,35.65,35.7,1623680
2010-02-24,35.84,36.55,35.84,36.39,2153268
2010-02-25,36.0,36.91,35.26,36.66,2643050
2010-02-26,36.84,37.53,36.65,37.42,1931204
2010-03-01,37.54,38.55,37.54,38.42,2013622
2010-03-02,38.54,39.58,38.44,38.56,2621612
2010-03-03,38.65,39.26,38.47,38.52,1339052
2010-03-04,38.53,38.74,37.46,37.87,1354720
2010-03-05,38.08,38.6,38.06,38.46,1011158
2010-03-08,38.36,38.96,38.17,38.9,1586714
2010-03-09,38.61,39.36,38.45,38.94,1815380
2010-03-10,38.94,39.46,38.59,39.08,1220594
2010-03-11,38.82,39.44,38.73,39.17,1054228
2010-03-12,39.48,39.48,38.98,39.28,1221310
2010-03-15,39.08,39.08,38.34,38.8,1249074
2010-03-16,39.02,39.97,38.58,39.95,2143424
2010-03-17,40.14,40.5,40.06,40.39,1575084
2010-03-18,40.39,40.48,39.14,39.54,1946208
2010-03-19,39.68,39.69,38.04,38.8,1992700
2010-03-22,38.28,38.58,37.6,38.5,1883300
2010-03-23,38.68,40.27,38.68,40.12,1911936
2010-03-24,39.68,40.39,39.68,40.18,1328846
2010-03-25,40.5,40.65,39.25,39.46,1854890
2010-03-26,39.52,39.7,38.11,38.8,1945976
2010-03-29,39.22,40.69,39.14,40.69,2087314
2010-03-30,40.69,40.69,40.12,40.3,1208392
2010-03-31,40.06,40.88,40.06,40.42,1602462
2010-04-01,41.0,42.31,41.0,42.1,2006848
2010-04-05,42.41,43.27,42.22,43.18,1644854
2010-04-06,43.34,43.34,42.52,43.0,1966170
2010-04-07,42.71,43.18,42.36,42.61,2313218
2010-04-08,42.31,42.72,41.51,42.49,1611290
2010-04-09,42.8,43.06,42.07,42.31,2573500
2010-04-12,42.57,43.0,42.23,42.37,1367414
2010-04-13,42.16,42.34,41.42,42.16,961154
2010-04-14,42.34,42.82,42.06,42.68,1147168
2010-04-15,42.72,43.39,42.7,42.74,1094264
2010-04-16,42.61,42.64,41.02,41.66,1653952
2010-04-19,41.1,41.64,40.53,41.51,1819620
2010-04-20,42.04,42.69,41.75,42.28,1620068
2010-04-21,42.4,42.4,41.43,42.12,1155390
